Date,SPY,VIX,IV_Rank,IV_Percentile,VIX_200DMA,VIX_5d_ago,VIX_5d_ROC
1994-01-26,26.61768913269043,11.170000076293945,23.27909802209827,12.3015873015873,12.38139998435974,11.760000228881836,-5.017008002592438
1994-01-27,26.863813400268555,10.300000190734863,12.390487079382119,1.984126984126984,12.378099985122681,11.15999984741211,-7.706090218958838
1994-01-28,26.93414306640625,9.9399995803833,7.8848467335336885,1.5873015873015872,12.371349983215332,11.09000015258789,-10.36970745159308
1994-01-31,27.127548217773438,10.630000114440918,16.520649439176157,3.571428571428571,12.364199981689453,11.600000381469727,-8.362070992500337
1994-02-01,26.986896514892578,10.649999618530273,16.77095616069522,3.968253968253968,12.357749981880188,11.380000114440918,-6.414767034881597
1994-02-02,27.162696838378906,10.609999656677246,16.270330781806567,3.571428571428571,12.350249981880188,11.170000076293945,-5.01343254961284
1994-02-03,27.039623260498047,10.75,18.022525575842124,5.555555555555555,12.340599980354309,10.300000190734863,4.368930106136548
1994-02-04,26.424304962158203,15.25,74.34293441214325,96.03174603174604,12.350049982070923,9.9399995803833,53.42052961547448
1994-02-07,26.547346115112305,13.960000038146973,58.19775102317095,81.34920634920636,12.343599982261658,10.630000114440918,31.326433564024427
1994-02-08,26.564945220947266,13.65999984741211,54.443054713580764,75.39682539682539,12.34224997997284,10.649999618530273,28.262913959589643
1994-02-09,26.670427322387695,13.300000190734863,49.93742630358287,68.65079365079364,12.34314998149872,10.609999656677246,25.353446004729175
1994-02-10,26.44187355041504,14.239999771118164,61.702128675391535,86.11111111111111,12.350349979400635,10.75,32.465114149936404
1994-02-11,26.529783248901367,14.460000038146973,64.45557422720441,88.88888888888889,12.3605499792099,15.25,-5.180327618708381
1994-02-14,26.564945220947266,14.279999732971191,62.202754054280184,87.6984126984127,12.367449979782105,13.960000038146973,2.2922614179784473
1994-02-15,26.705595016479492,13.399999618530273,51.18898378287924,71.42857142857143,12.373749976158143,13.65999984741211,-1.9033691931635954
1994-02-16,26.68800163269043,13.130000114440918,47.80976545934345,65.07936507936508,12.377499976158141,13.300000190734863,-1.2781960440299223
1994-02-17,26.529783248901367,13.789999961853027,56.07009017893153,79.36507936507937,12.380349974632264,14.239999771118164,-3.1601110709133184
1994-02-18,26.371551513671875,14.699999809265137,67.45932650053635,94.04761904761905,12.38879997253418,14.460000038146973,1.6597494501038756
1994-02-22,26.635265350341797,13.520000457763672,52.69087185539574,74.20634920634922,12.387799973487853,14.279999732971191,-5.322123875484053
1994-02-23,26.564945220947266,13.90999984741211,57.5719663155975,80.95238095238095,12.390599970817567,13.399999618530273,3.8059719656751145
1994-02-24,26.21333122253418,15.960000038146973,83.22904383930478,98.80952380952381,12.402599968910216,13.130000114440918,21.553693061993997
1994-02-25,26.336376190185547,14.800000190734863,68.71089591568324,95.23809523809523,12.402799968719483,13.789999961853027,7.324149613312381
1994-02-28,26.336376190185547,14.869999885559082,69.58698734477575,95.23809523809523,12.405199966430665,14.699999809265137,1.1564631190457364
1994-03-01,26.230899810791016,15.829999923706055,81.60200837395402,98.01587301587301,12.41369996547699,13.520000457763672,17.08579428794248
1994-03-02,26.26605987548828,16.079999923706055,84.73091997597074,98.80952380952381,12.423149967193604,13.90999984741211,15.600288282516871
1994-03-03,26.19575309753418,16.360000610351562,88.23530956404187,99.20634920634922,12.433499970436095,15.960000038146973,2.506269243411796
1994-03-04,26.26605987548828,16.0,83.72966921819344,98.4126984126984,12.443599972724915,14.800000190734863,8.108106714865881
1994-03-07,26.406705856323242,14.260000228881836,61.95244733276113,85.71428571428571,12.442349972724914,14.869999885559082,-4.102216956098593
1994-03-08,26.301218032836914,16.229999542236328,86.60826216284056,98.80952380952381,12.452999968528747,15.829999923706055,2.5268453598111362
1994-03-09,26.424304962158203,14.40999984741211,63.82978951963095,87.6984126984127,12.454849967956543,16.079999923706055,-10.385572663044208
1994-03-10,26.21333122253418,16.549999237060547,90.61326519394981,99.20634920634922,12.473199963569641,16.360000610351562,1.1613607556271388
1994-03-11,26.353960037231445,14.869999885559082,69.58698734477575,93.25396825396825,12.482049961090087,16.0,-7.062500715255737
1994-03-14,26.389144897460938,16.610000610351562,91.36422116605858,99.20634920634922,12.4977499628067,14.260000228881836,16.479665804703814
1994-03-15,26.371551513671875,14.779999732971191,68.46057725831365,92.06349206349206,12.503299961090088,16.229999542236328,-8.93407178165171
1994-03-16,26.5825138092041,14.510000228881836,65.08135893477785,88.88888888888889,12.508449964523315,14.40999984741211,0.6939651806289637
1994-03-17,26.5825138092041,12.760000228881836,43.178977720660754,58.333333333333336,12.504549965858459,16.549999237060547,-22.900297177607932
1994-03-18,26.57672882080078,13.319999694824219,50.187733025101934,68.25396825396825,12.506849966049195,14.869999885559082,-10.423673185365235
1994-03-21,26.505983352661133,14.34000015258789,62.95369809053844,86.5079365079365,12.508199968338012,16.610000610351562,-13.666468238110596
1994-03-22,26.57672882080078,13.390000343322754,51.06383639004498,69.84126984126983,12.501449971199035,14.779999732971191,-9.404596852242353
1994-03-23,26.55904197692871,12.3100004196167,37.54693922420075,48.01587301587302,12.493199973106384,14.510000228881836,-15.161955717175557
1994-03-24,26.24074363708496,13.430000305175781,51.56446176893363,70.63492063492063,12.49379997253418,12.760000228881836,5.250784202788816
1994-03-25,25.993215560913086,13.670000076293945,54.56821404226556,74.20634920634922,12.498599972724914,13.319999694824219,2.6276305517163534
1994-03-28,26.028564453125,14.899999618530273,69.96245339497962,93.25396825396825,12.511449971199035,14.34000015258789,3.9051566247112035
1994-03-29,25.515779495239258,16.489999771118164,89.8623330935421,98.4126984126984,12.533949971199036,13.390000343322754,23.151600808892425
1994-03-30,25.16212272644043,18.59000015258789,100.0,99.60317460317461,12.567549972534179,12.3100004196167,51.0154306978223
1994-03-31,25.232837677001953,20.450000762939453,100.0,99.60317460317461,12.611499977111816,13.430000305175781,52.27103721701509
1994-04-04,24.843847274780273,23.8700008392334,100.0,99.60317460317461,12.669649982452393,13.670000076293945,74.61595249460132
1994-04-05,25.356637954711914,18.1299991607666,60.576912685158376,98.4126984126984,12.699049978256225,14.899999618530273,21.677849831750095
1994-04-06,25.356637954711914,17.3799991607666,55.425813932513265,98.01587301587301,12.727699975967408,16.489999771118164,5.397206804133803
1994-04-07,25.48040199279785,16.979999542236328,52.678563884420186,97.22222222222221,12.752399973869323,18.59000015258789,-8.660573411170391
1994-04-08,25.28589630126953,16.920000076293945,52.266479652186604,96.82539682539682,12.775749974250793,20.450000762939453,-17.261616405622625
1994-04-11,25.391990661621094,16.610000610351562,50.137362502404656,96.03174603174604,12.80254997730255,23.8700008392334,-30.414746433310125
1994-04-12,25.356637954711914,16.420000076293945,48.83241381708985,94.84126984126983,12.829099979400635,18.1299991607666,-9.431876247259307
1994-04-13,25.224014282226562,17.020000457763672,52.95329543919026,97.22222222222221,12.857749981880188,17.3799991607666,-2.0713390125793874
1994-04-14,25.232837677001953,16.270000457763672,47.802196686545145,93.65079365079364,12.882799983024597,16.979999542236328,-4.181384591363457
